2023-03-25 21:52:33 | 123456 |  TRANSACTION |      -10,000đ |  5,000,000đ
2023-03-25 21:52:33 | 123456 |  TRANSACTION |      -10,000đ |  1,000đ
2023-03-25 21:51:51 | 123456 |  TRANSACTION |      -10,000đ |  900,000,000đ
2023-03-25 21:52:33 | 123456 |  TRANSACTION |      -10,000đ |  900,000,000đ
2023-03-25 21:51:51 | 123456 |  TRANSACTION |      -10,000đ |  900,000,000đ
2023-03-25 21:52:33 | 123456 |  TRANSACTION |      -10,000đ |  900,000,000đ
2023-03-26 00:32:13 | 123456 |  TRANSACTION |      -10,000đ |  899,990,000đ
2023-03-26 00:55:09 | 123456 |         LOAN |       10,000đ |  900,000,000đ
2023-03-26 00:57:07 | 123456 |  TRANSACTION |     -100,000đ |  899,900,000đ
2023-03-26 01:01:32 | 123456 |  TRANSACTION |   -1,000,000đ |  898,900,000đ
2023-03-26 01:10:05 | 123456 |         LOAN |    1,000,000đ |  899,900,000đ
2023-03-26 01:10:50 | 123456 |         LOAN |    1,000,000đ |  900,900,000đ
2023-03-26 01:16:30 | 123456 |         LOAN |    1,000,000đ |  901,900,000đ
2023-03-26 01:17:51 | 123456 |  TRANSACTION |   -1,000,000đ |  900,900,000đ
2023-03-26 01:19:23 | 123456 |         LOAN |   10,000,000đ |  910,900,000đ
2023-03-26 01:25:55 | 123456 |  TRANSACTION |  -10,900,000đ |  900,000,000đ
2023-03-26 01:28:56 | 123456 |  TRANSACTION | -100,000,000đ |  799,000,000đ
2023-03-26 01:29:42 | 123456 |      SAVINGS |  100,000,000đ |  900,000,000đ
2023-03-26 01:32:00 | 123456 |  TRANSACTION | -100,000,000đ |  799,000,000đ
2023-03-26 01:34:52 | 123456 |      SAVINGS |    1,000,000đ |  800,000,000đ
2023-03-26 01:35:45 | 123456 |      SAVINGS |  100,000,000đ |  900,000,000đ
2023-03-26 01:36:10 | 123456 |  TRANSACTION | -100,000,000đ |  799,000,000đ
2023-03-26 01:37:10 | 123456 |         LOAN |        1,000đ |  799,000,990đ
2023-03-26 01:39:21 | 123456 |         LOAN |    1,000,000đ |  799,990,990đ
2023-03-26 01:44:43 | 123456 |      SAVINGS |        1,000đ |  799,991,990đ
2023-03-26 01:45:21 | 123456 |      SAVINGS |  200,002,010đ |  999,994,000đ
2023-03-26 01:45:44 | 123456 |      SAVINGS |        6,000đ | 1,000,000,000đ
2023-04-12 11:08:47 | 123456 |  TRANSACTION |   -5,000,000đ |  994,950,000đ
2023-04-12 11:10:17 | 123456 |  TRANSACTION |   -5,000,000đ |  989,900,000đ
2023-04-12 11:11:55 | 123456 |  TRANSACTION |   -5,000,000đ |  984,850,000đ
2023-04-12 11:14:21 | 123456 |         LOAN |    5,000,000đ |  989,800,000đ
2023-04-12 11:46:08 | 123456 |      SAVINGS |    5,000,000đ |  994,800,000đ
2023-04-12 11:47:19 | 123456 |         LOAN |    5,000,000đ |  999,850,000đ
2023-04-12 11:48:42 | 123456 |      SAVINGS |    5,000,000đ | 1,004,850,000đ
2023-04-12 11:49:05 | 123456 |  TRANSACTION |   -5,000,000đ |  999,800,000đ
2023-04-12 11:52:30 | 123456 |  TRANSACTION |   -5,000,000đ |  994,750,000đ
2023-04-12 12:03:03 | 123456 |      SAVINGS |    5,000,000đ |  999,750,000đ
2023-04-12 12:03:25 | 123456 |         LOAN |    5,000,000đ | 1,004,800,000đ
2023-04-12 12:03:40 | 123456 |  TRANSACTION |   -4,500,000đ | 1,000,255,000đ
2023-04-12 12:06:08 | 123456 |  TRANSACTION |   -5,000,000đ |  995,205,000đ
2023-04-12 12:06:39 | 123456 |         LOAN |    5,000,000đ | 1,000,255,000đ
2023-04-12 12:09:11 | 123456 |  TRANSACTION |   -5,000,000đ |  995,305,000đ
2023-04-12 12:10:52 | 123456 |  TRANSACTION |   -5,000,000đ |  990,255,000đ
2023-04-12 12:11:03 | 123456 |      SAVINGS |    5,000,000đ |  995,255,000đ
2023-04-12 12:11:13 | 123456 |         LOAN |    5,000,000đ | 1,000,205,000đ
2023-04-16 07:20:20 | 123456 |  TRANSACTION |   -1,000,000đ |  999,195,000đ
2023-04-16 07:20:35 | 123456 |  TRANSACTION |   -1,000,000đ |  998,185,000đ
2023-04-16 07:21:23 | 123456 |  TRANSACTION |   -1,000,000đ |  997,175,000đ
2023-04-16 07:22:12 | 123456 |  TRANSACTION |   -1,000,000đ |  996,165,000đ
2023-04-16 07:23:08 | 123456 |  TRANSACTION |   -1,000,000đ |  995,155,000đ
2023-04-16 07:23:41 | 123456 |         LOAN |    1,000,000đ |  996,145,000đ
2023-04-16 18:17:41 | 123456 |  TRANSACTION |   -1,000,000đ |    1,050,000đ
2023-04-16 23:36:50 | 123456 |  TRANSACTION |     -990,000đ |    1,050,000đ
2023-04-18 12:09:02 | 123456 |  TRANSACTION |      -50,000đ |      999,500đ
2023-04-19 09:05:35 | 123456 |         LOAN |       10,000đ |    1,009,400đ
2023-04-19 09:06:44 | 123456 |         LOAN |       10,000đ |    1,019,300đ
2023-04-19 09:06:58 | 123456 |      SAVINGS |      100,000đ |    1,119,300đ
2023-04-19 09:07:11 | 123456 |      SAVINGS |       10,000đ |    1,129,300đ
2023-04-19 09:07:27 | 123456 |  TRANSACTION |      -10,000đ |    1,119,200đ
2023-04-19 09:08:38 | 123456 |         LOAN |       10,000đ |    1,129,100đ
